"Start,""Stop"",""Strand"""
"190,255,""+"""
"337,2799,""+"""
"2801,3733,""+"""
"3734,5020,""+"""
"5234,5530,""+"""
"5683,6459,""-"""
"6529,7959,""-"""
"8238,9191,""+"""
"9306,9893,""+"""
"9928,10494,""-"""
"10643,11356,""-"""
"11382,11786,""-"""
"12163,14079,""+"""
"14168,15298,""+"""
"15445,16557,""+"""
"16751,16960,""-"""
"16751,16903,""-"""
"17489,18655,""+"""
"18715,19620,""+"""
"19811,20314,""-"""
"20233,20508,""-"""
"20815,21078,""-"""
"21181,21399,""+"""
"21407,22348,""+"""
"22391,25207,""+"""
"25207,25701,""+"""
"25826,26275,""+"""
"26277,27227,""+"""
"27293,28207,""+"""
"28374,29195,""+"""
"29651,30799,""+"""
"30817,34038,""+"""
"34300,34695,""+"""
"34781,35371,""-"""
"35377,36162,""-"""
"36271,37824,""-"""
"37898,39115,""-"""
"39244,40386,""-"""
"40417,41931,""-"""
"42403,43173,""+"""
"43188,44129,""+"""
"44180,45466,""+"""
"45463,45750,""+"""
"45807,47138,""+"""
"47246,47776,""+"""
"47769,49631,""+"""
"49823,50302,""+"""
"50380,51222,""-"""
"51229,51606,""-"""
"51609,52430,""-"""
"52427,53416,""-"""
"53416,54702,""-"""
"54755,57109,""-"""
"57364,58179,""+"""
"59687,60346,""-"""
"60358,63264,""-"""
"63429,65780,""-"""
"65855,66550,""-"""
"66835,68337,""-"""
"68348,70048,""-"""
"70387,71265,""+"""
"71351,72115,""+"""
"72229,72927,""-"""
"72911,74521,""-"""
"74497,75480,""-"""
"75644,77299,""-"""
"77388,77519,""+"""
"77621,78799,""+"""
"78848,79453,""-"""
"79464,80864,""-"""
"80867,81958,""-"""
"81958,83529,""-"""
"83622,83708,""-"""
"84368,85312,""+"""
"85630,87354,""+"""
"87357,87848,""+"""
"88028,89032,""+"""
"89634,90092,""+"""
"90094,91035,""+"""
"91032,91397,""+"""
"91413,93179,""+"""
"93166,94653,""+"""
"94650,96008,""+"""
"96002,97084,""+"""
"97087,98403,""+"""
"98403,99647,""+"""
"99644,100711,""+"""
"100765,102240,""+"""
"102233,103153,""+"""
"103155,103985,""+"""
"103982,105244,""+"""
"105305,106456,""+"""
"106557,107474,""+"""
"107705,108217,""+"""
"108279,110984,""+"""
"111044,111433,""+"""
"111649,111846,""-"""
"111856,112599,""-"""
"112599,113219,""-"""
"113444,114487,""+"""
"114522,115724,""-"""
"115714,117099,""-"""
"117109,117549,""-"""
"117752,118645,""-"""
"118733,119284,""+"""
"119281,120135,""+"""
"120178,121551,""-"""
"122092,122856,""+"""
"123017,125680,""+"""
"125695,127587,""+"""
"127912,129336,""+"""
"129407,131260,""-"""
"131615,134212,""+"""
"134388,134750,""+"""
"134788,135582,""-"""
"135598,136464,""-"""
"136570,136917,""-"""
"137083,138633,""+"""
"138835,141225,""-"""
"141431,141967,""+"""
"142008,142670,""-"""
"142779,143705,""+"""
"143702,144472,""+"""
"144577,145017,""+"""
"145081,146310,""+"""
"146314,146694,""-"""
"146968,147870,""+"""
"147944,148795,""-"""
"148807,149601,""-"""
"149715,150953,""-"""
"151003,151599,""-"""
"151626,152231,""-"""
"152243,152812,""-"""
"152829,155426,""-"""
"155461,156201,""-"""
"156299,156883,""-"""
"157253,157732,""-"""
"157729,159126,""-"""
"159186,160112,""-"""
"160149,160604,""-"""
"160782,161486,""-"""
"161501,162031,""-"""
"162105,164534,""+"""
"164730,167264,""+"""
"167484,169727,""+"""
"169778,170575,""+"""
"170575,171465,""+"""
"171462,173444,""+"""
"173602,174882,""-"""
"175107,176528,""+"""
"176610,176954,""+"""
"177001,177624,""-"""
"177662,178462,""-"""
"178455,179153,""-"""
"179237,180754,""+"""
"180884,182308,""+"""
"182463,183620,""+"""
"183709,184095,""-"""
"184257,185069,""-"""
"185123,185947,""-"""
"185978,188650,""-"""
"188712,189506,""-"""
"189874,190599,""+"""
"190857,191708,""+"""
"191855,192580,""+"""
"192872,193429,""+"""
"193521,194717,""+"""
"194903,195664,""+"""
"195677,196534,""+"""
"196546,197898,""+"""
"197928,200360,""+"""
"200482,200967,""+"""
"200971,201996,""+"""
"202101,202556,""+"""
"202560,203348,""+"""
"203348,204496,""+"""
"204493,205089,""+"""
"205126,208608,""+"""
"208621,209580,""+"""
"209679,211820,""+"""
"211877,212266,""+"""
"212331,213629,""+"""
"213678,213932,""-"""
"213925,214125,""-"""
"214291,214836,""+"""
"214833,215255,""+"""
"215269,215979,""+"""
"216179,217003,""-"""
"217057,218775,""-"""
"218887,219594,""-"""
"219591,219995,""-"""
"220113,220928,""-"""
"220968,221621,""-"""
"221614,222645,""-"""
"222833,223408,""+"""
"229167,229970,""+"""
"229967,230881,""-"""
"231122,231922,""+"""
"231926,232549,""+"""
"232597,233955,""-"""
"234027,234782,""-"""
"234816,235538,""+"""
"235535,236002,""-"""
"236067,236798,""+"""
"237335,238120,""+"""
"238257,238736,""-"""
"239419,240189,""-"""
"240343,240816,""+"""
"240859,243303,""-"""
"243543,244121,""+"""
"244327,245094,""+"""
"245065,245805,""-"""
"245961,246239,""-"""
"246242,246502,""-"""
"246712,247461,""+"""
"247637,248134,""+"""
"250898,251953,""+"""
"252005,252298,""+"""
"252301,252699,""+"""
"252709,253161,""+"""
"254259,255716,""-"""
"255977,256435,""+"""
"256527,257771,""+"""
"259045,260100,""-"""
"260388,261491,""+"""
"261503,262756,""+"""
"263328,263669,""-"""
"263690,264007,""-"""
"264026,264247,""-"""
"264256,264732,""-"""
"264748,265206,""-"""
"265304,265543,""-"""
"265620,266087,""-"""
"266110,266553,""-"""
"267184,268005,""-"""
"268097,268960,""-"""
"269289,270182,""-"""
"270603,271754,""+"""
"274101,275117,""-"""
"275325,276728,""+"""
"276715,277647,""+"""
"277756,278802,""-"""
"279178,279681,""-"""
"279600,279875,""-"""
"280829,281983,""-"""
"282278,283186,""+"""
"283201,285168,""+"""
"285395,286777,""+"""
"286789,288399,""+"""
"288404,289162,""-"""
"289301,290305,""-"""
"290649,291152,""-"""
"291071,291346,""-"""
"292322,292948,""-"""
"293220,293918,""-"""
"293945,294799,""-"""
"295139,295579,""-"""
"295696,297096,""-"""
"297770,298726,""-"""
"298736,300934,""-"""
"300931,301887,""-"""
"301884,302573,""-"""
"302991,303605,""+"""
"303853,304182,""-"""
"304495,305205,""-"""
"305174,306817,""-"""
"306807,309332,""-"""
"309358,310026,""-"""
"310084,310671,""-"""
"310746,311336,""-"""
"312112,312339,""+"""
"312374,312514,""-"""
"312514,312777,""-"""
"313141,313242,""-"""
"315291,315590,""+"""
"315587,316453,""+"""
"317726,318319,""-"""
"318331,318567,""-"""
"318676,320001,""-"""
"320227,321081,""+"""
"321608,322327,""+"""
"322338,323765,""+"""
"323758,324453,""+"""
"324696,325364,""-"""
"325577,327247,""-"""
"327261,328733,""-"""
"328747,329334,""-"""
"329463,331496,""+"""
"332371,333459,""+"""
"333501,334433,""-"""
"334525,335022,""-"""
"335280,335885,""+"""
"335925,336788,""+"""
"336778,338325,""+"""
"338325,339743,""+"""
"340165,341115,""+"""
"341125,342507,""+"""
"342884,343933,""+"""
"344176,344991,""+"""
"345404,345649,""+"""
"345666,346337,""-"""
"346484,346759,""+"""
"346857,348443,""-"""
"348682,349572,""+"""
"350012,351181,""+"""
"351215,352666,""+"""
"352706,354592,""+"""
"354922,356181,""+"""
"356171,357454,""+"""
"357791,358690,""-"""
"358799,359458,""+"""
"359489,359959,""+"""
"359992,361146,""+"""
"361249,361860,""-"""
"361926,363179,""-"""
"363231,366305,""-"""
"366428,367510,""-"""
"367587,368420,""-"""
"368611,370275,""+"""
"370277,371221,""+"""
"371239,372105,""+"""
"372115,372924,""+"""
"372921,373871,""+"""
"373868,374881,""+"""
"375459,376670,""+"""
"376772,377311,""+"""
"377535,378368,""-"""
"378462,379571,""-"""
"379606,379881,""-"""
"380069,380842,""-"""
"381351,381716,""+"""
"381674,382579,""+"""
"382739,383935,""-"""
"384059,384616,""-"""
"385232,386194,""+"""
"386207,386974,""+"""
"386971,387798,""+"""
"387795,388646,""+"""
"388753,389727,""-"""
"391739,392605,""-"""
"392602,392901,""-"""
"394506,395129,""+"""
"395130,396287,""-"""
"396639,397859,""+"""
"397872,398966,""+"""
"399025,399333,""-"""
"399593,399805,""+"""
"399829,400923,""-"""
"401386,401646,""+"""
"401747,403162,""+"""
"403281,403601,""+"""
"403703,404818,""+"""
"404835,405644,""-"""
"405764,406222,""+"""
"406405,406929,""+"""
"406979,407170,""+"""
"407428,408105,""+"""
"408177,408461,""+"""
"409108,410019,""-"""
"410144,411052,""+"""
"411297,412481,""-"""
"412607,415753,""-"""
"415750,416952,""-"""
"417142,417831,""+"""
"417889,419184,""+"""
