"Start","Stop","Strand"
382,822,"-"
922,1380,"-"
1532,2524,"+"
2528,3976,"-"
3973,5472,"-"
5690,7558,"+"
7744,8163,"+"
8174,9679,"+"
9685,10650,"+"
10678,11568,"+"
11669,12601,"+"
12614,13597,"+"
13594,14991,"-"
15004,15705,"-"
21377,21883,"-"
21880,22461,"-"
22533,22802,"+"
22878,23864,"+"
23892,24515,"+"
24563,25462,"-"
25973,28651,"+"
28999,29631,"-"
30215,30721,"+"
30910,32283,"+"
32540,33949,"-"
33958,35007,"-"
35196,36605,"-"
36662,36823,"-"
36984,38807,"+"
38943,39542,"+"
39536,40396,"+"
40393,40830,"+"
40815,41816,"+"
41830,42747,"-"
42952,43194,"+"
43194,43577,"+"
43751,44680,"-"
44677,45312,"-"
45309,46211,"-"
46224,48638,"-"
48687,49274,"-"
49431,50267,"+"
50396,50608,"+"
51011,51991,"+"
52003,52317,"+"
52310,53677,"+"
53664,54506,"+"
54565,54834,"+"
54844,55281,"+"
55278,55871,"+"
55868,56191,"-"
56191,56769,"-"
56896,57498,"+"
57586,58581,"+"
58697,60820,"+"
60862,62127,"+"
62165,62479,"-"
62476,63624,"-"
63714,64718,"-"
64715,65722,"-"
65719,67230,"-"
67376,68362,"-"
68444,69274,"-"
69424,70683,"-"
70680,72146,"-"
72457,73293,"+"
73367,74212,"+"
74245,75279,"-"
75569,76189,"+"
76262,76936,"+"
77004,78365,"-"
78374,79072,"-"
79222,79725,"+"
79884,80786,"+"
80983,81945,"+"
82007,82354,"-"
82585,83505,"-"
83575,84909,"-"
84919,85449,"-"
85541,86395,"-"
86603,87631,"-"
87621,87752,"+"
87782,89977,"-"
90293,90442,"+"
90544,90861,"-"
91129,92289,"+"
92292,94724,"+"
94699,95835,"-"
95974,97530,"+"
97568,97939,"-"
98031,98939,"+"
99168,100055,"+"
100199,101080,"+"
101144,102247,"-"
102302,102964,"-"
103170,104156,"-"
104181,104831,"+"
104875,107526,"-"
107785,108936,"-"
109050,110054,"+"
110064,110837,"+"
110937,112310,"+"
112569,113486,"+"
113469,114803,"-"
115066,115701,"+"
115717,116076,"+"
116128,117228,"-"
117595,119433,"+"
119447,120229,"+"
126077,126898,"-"
127017,127355,"+"
127380,128900,"-"
129103,129234,"-"
129494,131140,"+"
131137,131394,"+"
131411,132340,"+"
132401,134251,"+"
134311,135798,"+"
135795,136685,"-"
136838,138313,"+"
138517,138798,"-"
138850,139131,"-"
139244,141265,"+"
141270,141992,"-"
142055,143053,"-"
143184,144110,"-"
144130,145638,"-"
145757,147022,"-"
147364,147693,"+"
148024,149283,"+"
149524,150627,"+"
150671,151687,"+"
151789,152874,"+"
152871,154133,"+"
154130,155197,"+"
155216,156097,"+"
156075,156749,"+"
156755,157885,"+"
157887,159137,"+"
159134,160210,"+"
160207,161553,"+"
161565,162305,"+"
162511,163896,"+"
164717,164890,"-"
164897,166093,"-"
166097,167278,"-"
167300,168040,"-"
168037,168978,"-"
169203,169322,"-"
169336,171888,"+"
172022,172342,"-"
172489,172692,"+"
172728,173552,"+"
173549,174256,"+"
174253,175155,"+"
175155,175871,"+"
175935,178097,"+"
178058,178210,"+"
178453,179403,"+"
179446,180339,"-"
180388,180852,"-"
181005,181865,"+"
181933,183759,"+"
183821,184441,"+"
184486,185394,"-"
185557,186177,"-"
186287,187279,"+"
187324,188124,"+"
188213,189112,"+"
190201,192465,"+"
192524,193336,"-"
193609,194370,"+"
194506,195954,"+"
196025,196780,"+"
196794,197399,"+"
197396,199036,"+"
199166,199417,"+"
199421,199957,"+"
199960,200739,"+"
200772,201575,"+"
201572,202060,"-"
202100,202219,"+"
202239,203714,"+"
203764,204465,"+"
204573,205736,"-"
205746,207935,"-"
208127,209458,"+"
209458,210072,"+"
210111,211562,"+"
211574,212107,"+"
217993,219021,"+"
219018,219980,"+"
220006,220872,"-"
221942,223126,"+"
223463,223846,"+"
223848,224393,"+"
224550,224978,"+"
224982,225686,"+"
226100,226597,"+"
226664,227029,"+"
227354,231382,"+"
231459,235682,"+"
236083,237423,"+"
237466,237783,"-"
237787,238047,"-"
238264,239796,"-"
239909,240031,"+"
240113,241246,"-"
241243,242013,"-"
242015,242215,"-"
242199,242954,"-"
242947,243582,"-"
243582,245477,"-"
245740,246237,"-"
246331,247104,"+"
247145,248209,"+"
248222,248893,"+"
248936,249526,"+"
249713,249985,"+"
249998,250693,"+"
250697,251134,"-"
251285,251404,"-"
251394,252788,"+"
252775,254106,"+"
254096,255391,"-"
255407,257023,"-"
262782,263243,"-"
263400,264329,"+"
264590,266191,"+"
266256,267575,"+"
267678,269462,"+"
269513,270406,"-"
270538,274221,"+"
274351,275982,"+"
276070,276879,"-"
276872,278104,"-"
278177,279001,"-"
279013,279813,"-"
279879,280373,"-"
280373,280780,"-"
280790,281593,"-"
281664,282617,"-"
282961,283836,"+"
283833,284105,"-"
284222,285151,"-"
285290,286639,"-"
287404,289053,"+"
289103,289558,"-"
289567,290076,"-"
290184,290564,"-"
290585,290716,"-"
290738,290905,"-"
290898,291638,"-"
291722,292999,"-"
293373,293783,"+"
293975,294865,"-"
294880,296424,"-"
296542,297732,"-"
298103,299212,"+"
299296,300585,"+"
300700,301623,"+"
301811,302308,"+"
302321,303187,"+"
303236,305659,"-"
305788,306156,"+"
306279,306887,"+"
306957,308273,"+"
308293,308442,"-"
308508,308717,"+"
308813,309328,"-"
309327,309485,"+"
309578,310066,"+"
310167,311165,"+"
311305,311547,"+"
311730,312713,"-"
312883,314298,"+"
314330,315409,"+"
315586,316779,"+"
316970,317683,"+"
317814,318230,"+"
318234,318590,"+"
318591,321416,"-"
321668,322192,"+"
322317,323897,"-"
324159,324323,"+"
324484,326742,"+"
327006,327374,"-"
327408,329168,"-"
329391,329510,"+"
329542,329772,"-"
329794,332217,"+"
332769,333122,"+"
333161,333922,"-"
333933,334946,"-"
334943,335701,"-"
335826,336908,"+"
336938,338077,"+"
338138,338971,"+"
338968,339825,"+"
339872,340153,"-"
340660,342264,"+"
342249,342578,"-"
342663,343121,"+"
343381,344049,"+"
344438,345787,"+"
345935,347581,"+"
347744,348625,"-"
348731,349138,"+"
349135,349824,"+"
350241,350366,"+"
350335,350892,"+"
350953,351642,"+"
351950,354175,"+"
354247,354759,"+"
354779,355876,"+"
355924,357579,"-"
357576,357887,"-"
358071,360029,"-"
360130,360330,"+"
360442,361755,"+"
361792,362478,"-"
362708,364387,"-"
364436,364855,"-"
364809,364949,"+"
365128,365856,"+"
365942,366700,"+"
366706,367623,"+"
367748,368755,"-"
368830,369771,"-"
369802,370800,"-"
370797,372317,"-"
372497,374782,"+"
374853,375206,"+"
375228,375986,"-"
376002,376565,"-"
376565,377701,"-"
377698,378378,"-"
378486,379244,"-"
379241,380089,"-"
380082,381146,"-"
381147,381731,"-"
381728,382180,"-"
382181,382906,"-"
383062,383661,"-"
383725,383958,"-"
384605,386107,"+"
386157,387095,"-"
387335,388687,"+"
388781,390196,"+"
390202,390324,"+"
390472,391428,"+"
391438,391809,"+"
391975,392760,"-"
392817,393338,"-"
393507,393812,"-"
393812,394729,"-"
394805,394918,"+"
394875,395558,"-"
395522,395752,"-"
395784,396569,"+"
396615,397064,"-"
397064,398392,"-"
398385,400400,"-"
400409,402856,"-"
403490,404056,"+"
404051,404173,"-"
404446,404658,"+"
404932,405069,"+"
405441,407528,"-"
407596,408186,"-"
408207,410003,"-"
409979,410302,"-"
410427,411728,"-"
411844,413280,"-"
413305,413463,"+"
413618,414094,"+"
414146,415396,"-"
415448,415594,"-"
415629,415922,"+"
415960,417606,"+"
417867,418220,"+"
418275,419138,"-"
419151,421274,"-"
421267,422553,"-"
423082,423447,"-"
423659,424693,"-"
424716,427040,"-"
427295,427981,"-"
428039,428602,"-"
429083,429727,"+"
429849,430811,"-"
430919,431485,"+"
431559,431690,"+"
431850,431996,"+"
432140,432457,"+"
432454,432987,"-"
433101,433460,"-"
433471,433866,"-"
433877,434611,"-"
434604,436394,"-"
436670,437647,"+"
437830,439332,"+"
439370,442699,"-"
442723,443685,"-"
443846,444907,"-"
445002,445547,"+"
445591,446322,"-"
446347,446547,"+"
447255,448394,"-"
448408,449919,"+"
449924,450373,"+"
450390,451745,"+"
451756,452079,"+"
452067,453614,"+"
453652,454557,"+"
454650,454958,"+"
